priogrid_gid,year,month,best,low,high,post_mean,tight_classical,honest_classical,tight_parametric,honest_parametric,tight_bs,honest_bs,tight_bounds,honest_bounds,tight_rvi,honest_rvi,tight_rvi_bs,honest_rvi_bs
110597,2018,11,1.0,1,1,0.0,1.0,1.0,0.8420344168524346,0.8420344168524346,,,,,1.3189942293604584,1.3189942293604584,,
111321,2018,6,6.0,6,6,0.0,6.0,6.0,5.052206501114608,5.052206501114608,,,,,7.12782370522377,7.12782370522377,,
111321,2020,4,24.0,24,24,0.0,24.0,24.0,20.208826004458434,20.208826004458434,,,,,22.09823676859966,22.09823676859966,,
111321,2020,7,19.0,8,44,0.0,19.0,19.0,15.998653920196256,15.998653920196256,,,15.839717343006697,15.839717343006697,21.78155766940595,21.78155766940595,,
112016,2020,3,12.0,0,12,0.0,12.0,12.0,10.104413002229217,10.104413002229217,,,,,13.930769233623492,13.930769233623492,,
112041,2019,1,4.0,4,4,0.0,4.0,4.0,3.3681376674097385,3.3681376674097385,,,,,4.8344513819832455,4.8344513819832455,,
112041,2019,3,2.0,0,2,0.0,2.0,2.0,1.6840688337048693,1.6840688337048693,,,,,2.390062858081326,2.390062858081326,,
112041,2019,4,12.0,12,13,0.0,12.0,12.0,10.104413002229217,10.104413002229217,,,11.864235231639944,11.864235231639944,13.930769233623492,13.930769233623492,,
112041,2019,7,3.0,0,3,0.0,3.0,3.0,2.5261032505573042,2.5261032505573042,,,,,3.325982999261554,3.325982999261554,,
112041,2019,11,2.0,2,12,0.0,2.0,2.0,1.6840688337048693,1.6840688337048693,,,1.6574528151491446,1.6574528151491446,2.390062858081326,2.390062858081326,,
112041,2020,2,2.0,0,2,0.0,2.0,2.0,1.6840688337048693,1.6840688337048693,,,,,2.390062858081326,2.390062858081326,,
112041,2020,3,36.0,6,36,0.0,36.0,36.0,30.313239006687645,30.313239006687645,,,29.834150672684597,29.834150672684597,40.62683019980009,40.62683019980009,,
112041,2020,5,41.0,33,87,0.0,41.0,41.0,34.52341109094982,34.52341109094982,,,36.40495485636696,36.40495485636696,46.12795517984437,46.12795517984437,,
112041,2020,9,12.0,12,12,0.0,12.0,12.0,10.104413002229217,10.104413002229217,,,,,13.930769233623492,13.930769233623492,,
112041,2020,10,4.0,4,5,0.0,4.0,4.0,3.3681376674097385,3.3681376674097385,,,3.8778478948095296,3.8778478948095296,4.8344513819832455,4.8344513819832455,,
112042,2020,4,5.0,5,35,0.0,5.0,5.0,4.210172084262172,4.210172084262172,,,4.103320834744511,4.103320834744511,5.9834901584665445,5.9834901584665445,,
112042,2020,9,1.0,1,1,0.0,1.0,1.0,0.8420344168524346,0.8420344168524346,,,,,1.3189942293604584,1.3189942293604584,,
112042,2020,10,42.0,9,46,0.0,42.0,42.0,35.365445507802264,35.365445507802264,,,35.19864286428871,35.19864286428871,47.22636108178626,47.22636108178626,,
112042,2020,11,7.0,7,7,0.0,7.0,7.0,5.894240917967042,5.894240917967042,,,,,8.268401497994892,8.268401497994892,,
112735,2019,7,4.0,3,10,0.0,4.0,4.0,3.3681376674097385,3.3681376674097385,,,3.4722495195448406,3.4722495195448406,4.8344513819832455,4.8344513819832455,,
112735,2019,10,6.0,6,6,0.0,6.0,6.0,5.052206501114608,5.052206501114608,,,,,7.12782370522377,7.12782370522377,,
112735,2020,3,8.0,8,31,0.0,8.0,8.0,6.736275334819475,6.736275334819475,,,6.852901439831109,6.852901439831109,9.405818573116928,9.405818573116928,,
112735,2020,9,19.0,18,19,0.0,19.0,19.0,15.998653920196256,15.998653920196256,,,18.853943810769405,18.853943810769405,21.78155766940595,21.78155766940595,,
112756,2020,2,8.0,0,8,0.0,8.0,8.0,6.736275334819475,6.736275334819475,,,,,9.405818573116928,9.405818573116928,,
112759,2020,3,6.0,6,9,0.0,6.0,6.0,5.052206501114608,5.052206501114608,,,5.680476298277668,5.680476298277668,7.12782370522377,7.12782370522377,,
112760,2018,12,2.0,2,2,0.0,2.0,2.0,1.6840688337048693,1.6840688337048693,,,,,2.390062858081326,2.390062858081326,,
112760,2019,12,2.0,2,2,0.0,2.0,2.0,1.6840688337048693,1.6840688337048693,,,,,2.390062858081326,2.390062858081326,,
112760,2020,1,4.0,3,7,0.0,4.0,4.0,3.3681376674097385,3.3681376674097385,,,3.5971551722366266,3.5971551722366266,4.8344513819832455,4.8344513819832455,,
112760,2020,4,30.0,30,39,0.0,30.0,30.0,25.26103250557304,25.26103250557304,,,28.932322041110424,28.932322041110424,34.00332327912851,34.00332327912851,,
112760,2020,7,20.0,16,20,0.0,20.0,20.0,16.84068833704869,16.84068833704869,,,19.389239474047645,19.389239474047645,19.723301566308027,19.723301566308027,,
112760,2020,9,25.0,23,25,0.0,25.0,25.0,21.05086042131086,21.05086042131086,,,24.705580313910566,24.705580313910566,28.462230856650315,28.462230856650315,,
112760,2020,10,1.0,1,2,0.0,1.0,1.0,0.8420344168524346,0.8420344168524346,,,0.9146857855766193,0.9146857855766193,1.3189942293604584,1.3189942293604584,,
112760,2020,11,50.0,30,50,0.0,50.0,50.0,42.101720842621724,42.101720842621724,,,46.724184495153594,46.724184495153594,55.993920390296616,55.993920390296616,,
112761,2018,12,1.0,1,1,0.0,1.0,1.0,0.8420344168524346,0.8420344168524346,,,,,1.3189942293604584,1.3189942293604584,,
112761,2019,5,9.0,9,9,0.0,9.0,9.0,7.578309751671913,7.578309751671913,,,,,10.54048831147479,10.54048831147479,,
112761,2019,7,10.0,10,10,0.0,10.0,10.0,8.420344168524348,8.420344168524348,,,,,11.672718080938616,11.672718080938616,,
112761,2019,8,1.0,0,3,0.0,1.0,1.0,0.8420344168524346,0.8420344168524346,,,,,1.3189942293604584,1.3189942293604584,,
112761,2019,9,19.0,19,21,0.0,19.0,19.0,15.998653920196256,15.998653920196256,,,18.732431844858905,18.732431844858905,21.78155766940595,21.78155766940595,,
112761,2019,10,67.0,67,69,0.0,67.0,67.0,56.4163059291131,56.4163059291131,,,66.7182403664627,66.7182403664627,74.52600592523375,74.52600592523375,,
112761,2019,11,19.0,10,21,0.0,19.0,19.0,15.998653920196256,15.998653920196256,,,17.283970368457908,17.283970368457908,21.78155766940595,21.78155766940595,,
112761,2019,12,12.0,11,18,0.0,12.0,12.0,10.104413002229217,10.104413002229217,,,11.238900494132354,11.238900494132354,13.930769233623492,13.930769233623492,,
112761,2020,1,15.0,15,22,0.0,15.0,15.0,12.630516252786517,12.630516252786517,,,14.241630829964315,14.241630829964315,17.304265972410114,17.304265972410114,,
112761,2020,2,1.0,1,6,0.0,1.0,1.0,0.8420344168524346,0.8420344168524346,,,0.8287264075745723,0.8287264075745723,1.3189942293604584,1.3189942293604584,,
112761,2020,3,1.0,1,1,0.0,1.0,1.0,0.8420344168524346,0.8420344168524346,,,,,1.3189942293604584,1.3189942293604584,,
112761,2020,4,6.0,6,12,0.0,6.0,6.0,5.052206501114608,5.052206501114608,,,5.488114713459715,5.488114713459715,7.12782370522377,7.12782370522377,,
112761,2020,5,13.0,12,13,0.0,13.0,13.0,10.94644741908165,10.94644741908165,,,12.852921500943273,12.852921500943273,12.398045982509792,12.398045982509792,,
112761,2020,6,33.0,31,33,0.0,33.0,33.0,27.787135756130343,27.787135756130343,,,32.70722206003033,32.70722206003033,37.31831767706909,37.31831767706909,,
112761,2020,7,11.0,7,15,0.0,11.0,11.0,9.262378585376782,9.262378585376782,,,9.98411145349091,9.98411145349091,12.802747381520406,12.802747381520406,,
112761,2020,8,67.0,66,67,0.0,67.0,67.0,56.4163059291131,56.4163059291131,,,66.85548131476305,66.85548131476305,74.52600592523375,74.52600592523375,,
112761,2020,9,4.0,4,4,0.0,4.0,4.0,3.3681376674097385,3.3681376674097385,,,,,4.8344513819832455,4.8344513819832455,,
112761,2020,10,24.0,0,24,0.0,24.0,24.0,20.208826004458434,20.208826004458434,,,,,22.09823676859966,22.09823676859966,,
112761,2020,12,36.0,12,67,0.0,36.0,36.0,30.313239006687645,30.313239006687645,,,29.980594586981983,29.980594586981983,40.62683019980009,40.62683019980009,,
113480,2018,11,2.0,2,2,0.0,2.0,2.0,1.6840688337048693,1.6840688337048693,,,,,2.390062858081326,2.390062858081326,,
113480,2019,4,19.0,18,19,0.0,19.0,19.0,15.998653920196256,15.998653920196256,,,18.853943810769405,18.853943810769405,21.78155766940595,21.78155766940595,,
113480,2019,6,26.0,26,26,0.0,26.0,26.0,21.892894838163304,21.892894838163304,,,,,29.572186093955885,29.572186093955885,,
113480,2019,7,7.0,4,7,0.0,7.0,7.0,5.894240917967042,5.894240917967042,,,6.503084060868638,6.503084060868638,8.268401497994892,8.268401497994892,,
113480,2019,11,3.0,2,3,0.0,3.0,3.0,2.5261032505573042,2.5261032505573042,,,2.840238149138835,2.840238149138835,3.325982999261554,3.325982999261554,,
113480,2020,2,1.0,1,3,0.0,1.0,1.0,0.8420344168524346,0.8420344168524346,,,0.8766717650165152,0.8766717650165152,1.3189942293604584,1.3189942293604584,,
113480,2020,3,6.0,6,9,0.0,6.0,6.0,5.052206501114608,5.052206501114608,,,5.680476298277668,5.680476298277668,7.12782370522377,7.12782370522377,,
113480,2020,12,30.0,28,32,0.0,30.0,30.0,25.26103250557304,25.26103250557304,,,29.440572865268678,29.440572865268678,34.00332327912851,34.00332327912851,,
113481,2018,3,1.0,1,1,0.0,1.0,1.0,0.8420344168524346,0.8420344168524346,,,,,1.3189942293604584,1.3189942293604584,,
113481,2018,7,1.0,1,1,0.0,1.0,1.0,0.8420344168524346,0.8420344168524346,,,,,1.3189942293604584,1.3189942293604584,,
113481,2018,12,12.0,9,12,0.0,12.0,12.0,10.104413002229217,10.104413002229217,,,11.534383434803175,11.534383434803175,13.930769233623492,13.930769233623492,,
113481,2019,4,15.0,14,15,0.0,15.0,15.0,12.630516252786517,12.630516252786517,,,14.853356281140263,14.853356281140263,17.304265972410114,17.304265972410114,,
113481,2019,6,2.0,0,2,0.0,2.0,2.0,1.6840688337048693,1.6840688337048693,,,,,2.390062858081326,2.390062858081326,,
113481,2019,8,9.0,9,9,0.0,9.0,9.0,7.578309751671913,7.578309751671913,,,,,10.54048831147479,10.54048831147479,,
113481,2019,10,16.0,10,16,0.0,16.0,16.0,13.472550669638954,13.472550669638954,,,15.026585896882612,15.026585896882612,18.425629835609044,18.425629835609044,,
113481,2020,2,4.0,1,4,0.0,4.0,4.0,3.3681376674097385,3.3681376674097385,,,3.4172942631033143,3.4172942631033143,4.8344513819832455,4.8344513819832455,,
113481,2020,3,37.0,34,43,0.0,37.0,37.0,31.155273423540077,31.155273423540077,,,35.814002480035555,35.814002480035555,41.72831721095679,41.72831721095679,,
113481,2020,6,82.0,74,158,0.0,82.0,82.0,69.04682218189966,69.04682218189966,,,74.45672402561624,74.45672402561624,90.78725814473859,90.78725814473859,,
113481,2020,7,10.0,10,10,0.0,10.0,10.0,8.420344168524348,8.420344168524348,,,,,11.672718080938616,11.672718080938616,,
113481,2020,8,130.0,48,160,0.0,130.0,130.0,109.46447419081647,109.46447419081647,,,112.84810938520728,112.84810938520728,142.40395596114624,142.40395596114624,,
113481,2020,9,2.0,2,2,0.0,2.0,2.0,1.6840688337048693,1.6840688337048693,,,,,2.390062858081326,2.390062858081326,,
113481,2020,10,3.0,2,3,0.0,3.0,3.0,2.5261032505573042,2.5261032505573042,,,2.840238149138835,2.840238149138835,3.325982999261554,3.325982999261554,,
113482,2020,8,7.0,7,7,0.0,7.0,7.0,5.894240917967042,5.894240917967042,,,,,8.268401497994892,8.268401497994892,,
114173,2020,3,2.0,2,2,0.0,2.0,2.0,1.6840688337048693,1.6840688337048693,,,,,2.390062858081326,2.390062858081326,,
114174,2020,3,13.0,13,13,0.0,13.0,13.0,10.94644741908165,10.94644741908165,,,,,12.398045982509792,12.398045982509792,,
114200,2020,10,3.0,0,3,0.0,3.0,3.0,2.5261032505573042,2.5261032505573042,,,,,3.325982999261554,3.325982999261554,,
114201,2018,1,7.0,5,7,0.0,7.0,7.0,5.894240917967042,5.894240917967042,,,6.685802360424256,6.685802360424256,8.268401497994892,8.268401497994892,,
114201,2018,6,9.0,9,9,0.0,9.0,9.0,7.578309751671913,7.578309751671913,,,,,10.54048831147479,10.54048831147479,,
114201,2018,7,2.0,2,2,0.0,2.0,2.0,1.6840688337048693,1.6840688337048693,,,,,2.390062858081326,2.390062858081326,,
114201,2018,8,4.0,4,4,0.0,4.0,4.0,3.3681376674097385,3.3681376674097385,,,,,4.8344513819832455,4.8344513819832455,,
114201,2018,9,3.0,2,3,0.0,3.0,3.0,2.5261032505573042,2.5261032505573042,,,2.840238149138835,2.840238149138835,3.325982999261554,3.325982999261554,,
114201,2019,6,2.0,2,3,0.0,2.0,2.0,1.6840688337048693,1.6840688337048693,,,1.8934920994258895,1.8934920994258895,2.390062858081326,2.390062858081326,,
114201,2019,8,15.0,15,15,0.0,15.0,15.0,12.630516252786517,12.630516252786517,,,,,17.304265972410114,17.304265972410114,,
114201,2019,11,5.0,5,5,0.0,5.0,5.0,4.210172084262172,4.210172084262172,,,,,5.9834901584665445,5.9834901584665445,,
114201,2019,12,10.0,10,10,0.0,10.0,10.0,8.420344168524348,8.420344168524348,,,,,11.672718080938616,11.672718080938616,,
114201,2020,9,11.0,8,33,0.0,11.0,11.0,9.262378585376782,9.262378585376782,,,9.373602770607825,9.373602770607825,12.802747381520406,12.802747381520406,,
114201,2020,10,25.0,24,27,0.0,25.0,25.0,21.05086042131086,21.05086042131086,,,24.587327365908415,24.587327365908415,28.462230856650315,28.462230856650315,,
114201,2020,11,37.0,37,37,0.0,37.0,37.0,31.155273423540077,31.155273423540077,,,,,41.72831721095679,41.72831721095679,,
114201,2020,12,13.0,12,16,0.0,13.0,13.0,10.94644741908165,10.94644741908165,,,12.495582054370107,12.495582054370107,12.398045982509792,12.398045982509792,,
117766,2017,3,18.0,18,18,0.0,18.0,18.0,15.156619503343821,15.156619503343821,,,,,20.664202441985587,20.664202441985587,,
118486,2017,5,17.0,17,17,0.00774914093199186,16.992028253587495,16.985058121347265,14.30821008649139,14.299612552311704,,,,,19.53920784486934,19.530610310689656,,
118486,2017,7,1.0,1,1,0.4880028183106333,0.4970846698178186,0.4179860780350282,0.34438651682255944,0.27599377888301335,,,,,0.8181678681517853,0.7395358898720025,,
